Time (s),Throttle (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
1.4847822499992,1000,0.0,-0.0005094318809658,-0.0002076575702919,11.672752496748,0.0073935703117061,0.0863033163158492,0.0,0.0,,,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
8.4967937499992,1190,4311.999999999973,0.1023292041209791,0.016021129463726,11.671698562846,1.133025302704,13.22432979723843,7.234366388031671,54.70497559386629,14.144874427464671,7.737950103327583,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
16.618605699999,1280,6060.000000000018,0.2081184670753621,0.03047839359997,11.669660414154,2.6526513432532,30.955540372914307,19.341640880230607,62.48200046656039,10.760124663884298,6.723141142690666,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
24.769885199999,1370,7433.999999999994,0.3183082535243942,0.045969782291008,11.668061420399,4.449064209059,51.91195445459932,35.78686225640658,68.93761298797702,8.894556087196792,6.1316946523902764,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
32.804769599999,1460,8559.00000000002,0.421227932510164,0.06060031354973,11.665574812431,6.425594035994,74.95824794119847,54.31584190808093,72.46146141341161,7.755157937586809,5.619500776493593,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
40.832053999999,1550,9449.999999999956,0.5176603466020303,0.074542807650544,11.663093701383,8.2227422748866,95.90261363432565,73.76768812126504,76.91937198139298,7.0174402883693485,5.397770998982955,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
48.829972299999,1640,10233.000000000206,0.6076061781221926,0.08836627647714,11.661144908311,10.092309843007,117.68788753887806,94.6930592314351,80.46117677161412,6.416586210792592,5.162860773768844,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
56.796901749999,1730,10869.999999999984,0.687615104046754,0.1007884527108,11.659648054101,11.802295080793,137.6106068726939,114.72787248312868,83.37138763530456,5.993444218604083,4.996817612198161,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
64.803642649999,1820,11861.999999999962,0.8295172430848354,0.12188568089066,11.65660798702,15.015767216714,175.03291206958147,151.40465413110053,86.50067712460391,5.478809405466233,4.739207234094776,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
72.830751049999,1910,12944.000000000233,0.999258542147298,0.14805150365421,11.652004193579,19.359004929102,225.57120661741305,200.6827043373304,88.96645425038862,4.979295776618749,4.429902899097052,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
80.804994399999,2000,13696.00000000038,1.118715484650416,0.1669725546495,11.648377477379,22.744520953889,264.9367656130554,239.47901167388343,90.39100749936932,4.671455242908112,4.2225754589467535,Turnigy 2836 Brushless Outrunner 1000kv,Carbon Fiber 8x6
