Time (s),Throttle (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
0.3005321999998,1000,0.0,0.0001402094653194,5.9247760082e-06,16.3411353302,-0.031378374882042,0.5127582703891969,0.0,0.0,,,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
5.4234995999998,1150,601.9999999999983,0.0154783974638648,0.0054977528077918,16.333040771484,0.032344936281443,0.5282911630358605,0.3465854432997073,65.60500488178353,44.65968713660023,29.29898992615584,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
9.5522559999998,1200,816.9999999999998,0.0295364488628135,0.0094998160002239,16.328275375366,0.080863650292158,1.3203639498276512,0.8127666370690474,61.556257816273984,36.34062659034106,22.36992979599976,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
13.7039066,1250,1042.0000000000432,0.0493041214131492,0.014359967494326,16.320511245728,0.1465967990458,2.3925347074147068,1.5669307152725058,65.49249674065038,31.4654125626574,20.60748429703059,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
17.804653,1300,1262.9999999999973,0.0741425260299215,0.02149228575139,16.3104662323,0.24987450674176,4.075569704524096,2.842592295770151,69.74711517299592,26.082715463715104,18.191941594722195,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
21.9572742,1350,1488.9999999999677,0.1039120483338551,0.028797551200821,16.295909500122,0.3890082462132,6.339243175091484,4.490336367085907,70.83395041114045,23.14126155348378,16.391869733307008,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
26.1126212,1400,1706.0000000000043,0.1402977148490972,0.037954481649984,16.276927490234,0.56361828401685,9.17397394111238,6.780640345080403,73.91170269945441,20.69092411764448,15.293014319603095,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
30.2167084,1450,1917.0000000000207,0.1833363955340815,0.047483641750023,16.253182983398,0.77818401172757,12.64796713736293,9.532235219595307,75.36574942099948,19.233305862742345,14.4953251018888,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
34.331438,1500,2113.9999999999927,0.2230137140151122,0.057100947833486,16.226232833862,1.0217248208821,16.5787448357689,12.640868637707634,76.24744070151054,17.642277631923466,13.451785175796704,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
38.4303556,1550,2311.999999999968,0.280924013189346,0.070850375452459,16.188098449707,1.3789599902928,22.32274008106685,17.153731332900126,76.84420134179294,16.37684581491292,12.584656371446677,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
42.562556,1600,2490.999999999977,0.327168967344302,0.082603742292474,16.148853759766,1.7228228004277,27.82161345809745,21.54775696910468,77.44970291373676,15.183435000376106,11.75952529989162,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
46.7529262,1650,2684.0000000000305,0.3970944889252293,0.096267014153327,16.099984512329,2.151144734174,34.63339690397949,27.05756006986902,78.125631582965,14.67591637604564,11.465652359373443,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
50.8757812,1700,2860.0000000000296,0.4514415286107081,0.10805270154877,16.051904830933,2.5638198383152,41.15419204829362,32.36162199614628,78.63505607927027,13.949904262044315,10.969515039463063,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
54.9866158,1750,3037.0000000000314,0.511727913298731,0.12047876448679,15.995744132996,3.0253419502079,48.3925957503447,38.31633089095234,79.17808560760953,13.355347482385524,10.574508462796937,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
59.1522824,1800,3193.9999999999686,0.5695002759304859,0.13236281513184,15.936586723328,3.5593862445653,56.72446756833567,44.27203907065049,78.04751806143653,12.86365588496302,10.039764150177556,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
63.331689,1850,3365.9999999999545,0.6414476749037133,0.14827465004166,15.864614982605,4.1600048549473,65.99687534950648,52.26484145411756,79.19290296295578,12.273024409092098,9.719364310912184,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
67.4731548,1900,3509.000000000037,0.7199001322449563,0.16583996278607,15.786058082581,4.8490381915867,76.54719853704118,60.93982150466632,79.61077958349782,11.81329571485259,9.404656813098088,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
71.5914922,1950,3661.999999999961,0.7826619651789858,0.17902683452072,15.711899528503,5.4843424518406,86.16943758322331,68.65388064387999,79.67312143307582,11.400112533169011,9.082825502059045,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
75.7121812,2000,3786.9999999999854,0.8440290575873004,0.19152636747817,15.639575080872,6.1016353519261,95.42698420255108,75.95432261891652,79.59417690251811,11.11232420335079,8.844762984396366,SunnySky V4006 320KV,Aeronaut CAM Carbon folding 15x8
