Throttle,Rotation_speed(RPM),Thrust(gf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor and ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Motor_kv(RPM/V),Motor_Weight(g),Motor_Diameter(mm),Motor_Height(mm),Internal_Resistance(Ohms),Propeller_Name,Propeller_Diameter(in),Pitch(in),Number_of_Blades
0.0,0.0,-0.9318449898508,-7.41359557725e-05,17.924302749634,0.031858568787575,0.571042632118534,0.0,0.0,,,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.1,410.999999999998,3.9135898503253,0.0017707403703292,17.924011154175,0.051709151417017,0.926835406771537,0.0762123456621225,8.22285651856941,51.3511271215261,4.22252950387127,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.2,941.999999999995,30.7320403547082,0.0076886106174419,17.923036499023,0.10789465516806,1.93379984262664,0.75845075464693,39.2207475628265,40.5194934099769,15.8920482240631,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.3,1433.99999999998,78.2731820505585,0.016965183640002,17.920087661743,0.24030625760555,4.30630920195685,2.54762988267306,59.1604031014627,30.7239220983041,18.1763961619361,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.4,1894.00000000004,142.184671105821,0.029152441081253,17.914552764893,0.46051354885101,8.24989426983955,5.78207231427445,70.0866232360443,24.5906075499616,17.2347264649958,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.5,2321.0,217.266658609841,0.043193580848145,17.90657951355,0.78374425888062,14.0341788899341,10.498396426458,74.8059185278579,20.6952233259441,15.481251900364,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.6,2724.99999999997,306.780749386977,0.059665033773819,17.898469390869,1.2174858665466,21.7911335161999,17.0260935533513,78.1331248358137,18.0182699234959,14.0782373325789,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.7,3120.00000000001,408.952321228065,0.07723932781755,17.884325332642,1.7754825544357,31.7533076259583,25.2360685033423,79.4754008011179,16.20507256009,12.8790463672435,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.8,3179.00000000002,432.429628015959,0.080919118080142,17.881067276001,1.8979275178909,33.9369696323808,26.9383063006974,79.3774653202812,16.0525915471071,12.7421402883114,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.9,3188.99999999995,431.582891150362,0.080754325765448,17.880927810669,1.8921034049988,33.8325643951046,26.9680119954255,79.7102214318926,16.003511538914,12.7564344845468,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
1.0,3191.99999999996,426.789722531711,0.080855821184228,17.881384124756,1.8877194690704,33.7550369462283,27.0273081277607,80.0689632507741,15.7910554952137,12.643734421372,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.0,0.0,0.39298164947,-0.0001324739856198,17.92641494751,0.032871558740735,0.589269201957865,0.0,0.0,,,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.1,412.000000000002,5.2560061954494,0.0015838326378264,17.926182403564,0.04788412541151,0.858379566361862,0.0683337291852868,7.96078236984498,76.9167182607253,6.12317254676315,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.2,947.000000000002,31.5353423275848,0.0072197248905635,17.924968414307,0.10848186135292,1.94453393827632,0.715977287974854,36.8199944409051,44.0451713444469,16.2174296405125,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.3,1444.00000000001,80.0498404263423,0.015746213945971,17.922099151611,0.2366884458065,4.2419537937848,2.38106888129071,56.1314195543428,33.6192879825256,18.8709835886542,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.4,1898.99999999996,143.133351457654,0.027777016965215,17.916740646362,0.46021816372871,8.24560948027226,5.52381578523404,66.9909944007154,25.9120428744691,17.3587351911466,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.5,2317.99999999999,222.427185875044,0.042590840277311,17.908689575195,0.79396334886551,14.2188431489147,10.3385172801705,72.7099748685223,21.5144183491055,15.6431281747434,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
0.6,2723.99999999997,312.534573964412,0.058456330445633,17.899926376343,1.218115234375,21.8041730132143,16.6750548281705,76.4764378729918,18.7426414596504,14.3337045516472,T-Motor Antigravity MN4004 300kV,300,53,44.35,19,0.452,APC 14x55MR,14,5.5,2
