id,motor,propeller,battery,number_of_batteries,cost,useful_thrust,avail_weight,endurance,throttle
5200da2b,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90, weight=2630.0, cost=302.28, voltage=22.2, capacity_milliamp_hours=20000.0, capacity_watt_hours=444.00)",4,3561.96,-6628.177777777777,2889.6000000000004,140.60030704120163,67.2038784067086
38ea6ff0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90, weight=2630.0, cost=302.28, voltage=22.2, capacity_milliamp_hours=20000.0, capacity_watt_hours=444.00)",5,3864.24,-9258.177777777777,259.60000000000036,175.75038380150198,67.2038784067086
5b3f6ae3,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90, weight=1820.0, cost=212.27, voltage=22.2, capacity_milliamp_hours=14000.0, capacity_watt_hours=310.80)",1,2565.11,2071.8222222222225,11589.6,24.605053732210283,67.2038784067086
034aa5ee,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90, weight=1820.0, cost=212.27, voltage=22.2, capacity_milliamp_hours=14000.0, capacity_watt_hours=310.80)",2,2777.38,251.822222222223,9769.6,49.21010746442057,67.2038784067086
c1e94a44,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90, weight=1820.0, cost=212.27, voltage=22.2, capacity_milliamp_hours=14000.0, capacity_watt_hours=310.80)",3,2989.65,-1568.177777777777,7949.6,73.81516119663085,67.2038784067086
9b4838ba,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90, weight=1820.0, cost=212.27, voltage=22.2, capacity_milliamp_hours=14000.0, capacity_watt_hours=310.80)",4,3201.92,-3388.177777777777,6129.6,98.42021492884113,67.2038784067086
ee76044f,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90, weight=1820.0, cost=212.27, voltage=22.2, capacity_milliamp_hours=14000.0, capacity_watt_hours=310.80)",5,3414.1900000000005,-5208.177777777777,4309.6,123.0252686610514,67.2038784067086
b6d11180,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90, weight=1610.0, cost=188.86, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",1,2541.7000000000003,2281.8222222222225,11799.6,21.090046056180242,67.2038784067086
28c7ceed,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90, weight=1610.0, cost=188.86, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",2,2730.5600000000004,671.822222222223,10189.6,42.180092112360484,67.2038784067086
c40f27a5,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90, weight=1610.0, cost=188.86, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",3,2919.42,-938.177777777777,8579.6,63.270138168540726,67.2038784067086
958ba391,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90, weight=1610.0, cost=188.86, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",4,3108.28,-2548.177777777777,6969.6,84.36018422472097,67.2038784067086
35fe4924,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90, weight=1610.0, cost=188.86, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",5,3297.1400000000003,-4158.177777777777,5359.6,105.45023028090122,67.2038784067086
9ad0e0c0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90, weight=1650.0, cost=184.26, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",1,2537.1000000000004,2241.8222222222225,11759.6,21.090046056180242,67.2038784067086
d669e1a5,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90, weight=1650.0, cost=184.26, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",2,2721.36,591.822222222223,10109.6,42.180092112360484,67.2038784067086
8453c724,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90, weight=1650.0, cost=184.26, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",3,2905.62,-1058.177777777777,8459.6,63.270138168540726,67.2038784067086
ce7181a9,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90, weight=1650.0, cost=184.26, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",4,3089.88,-2708.177777777777,6809.6,84.36018422472097,67.2038784067086
e3e51607,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90, weight=1650.0, cost=184.26, voltage=22.2, capacity_milliamp_hours=12000.0, capacity_watt_hours=266.40)",5,3274.1400000000003,-4358.177777777777,5159.6,105.45023028090122,67.2038784067086
50e04da0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90, weight=950.0, cost=98.74, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",1,2451.58,2941.8222222222225,12459.6,10.545023028090121,67.2038784067086
6b77911f,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90, weight=950.0, cost=98.74, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",2,2550.32,1991.8222222222225,11509.6,21.090046056180242,67.2038784067086
