id,motor,propeller,battery,number_of_batteries,useful thrust,endurance,score
2bcdc958,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90,1,2894.3058823529423,16.344838152827855,1.2668841047116475
13d5254c,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90,2,1574.3058823529427,32.68967630565571,0.9169690793014942
3d7797a3,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90,3,254.30588235294272,49.034514458483564,0.8630594851768754
ea750a14,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90,4,-1065.6941176470573,65.37935261131142,0.9345420381198827
70246145,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90,5,-2385.6941176470573,81.72419076413927,1.0707905291068056
fd678397,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90,1,2199.3058823529423,26.151741044524563,1.0458656464521061
f8d6be61,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90,2,184.30588235294272,52.303482089049126,0.9045170085001907
8c3a8442,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90,3,-1830.6941176470573,78.45522313357368,1.0678230427903037
aa3c71f3,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90,4,-3845.6941176470573,104.60696417809825,1.3449483959999862
6ec34844,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90,5,-5860.694117647057,130.75870522262284,1.676911997367087
d470c45b,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90,1,3464.3058823529423,8.172419076413927,1.61642655491665
a6df5bb4,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90,2,2714.3058823529423,16.344838152827855,1.1507164162604395
f9f36786,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90,3,1964.3058823529423,24.517257229241782,0.9201056643594272
cea66409,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90,4,1214.3058823529427,32.68967630565571,0.8093595440290553
45f3cab5,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90,5,464.3058823529427,40.86209538206963,0.7679770776208437
4416338d,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90,1,1584.3058823529427,32.68967630565571,0.9202202904209946
f0165c4d,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90,2,-1045.6941176470573,65.37935261131142,0.9370087149891595
9ff0eca8,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90,3,-3675.6941176470573,98.06902891696713,1.246768727560004
5200da2b,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90,4,-6305.694117647057,130.75870522262284,1.6586275386846954
38ea6ff0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90,5,-8935.694117647057,163.44838152827853,2.1179353749113696
5b3f6ae3,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90,1,2394.3058823529423,22.882773413958994,1.0834396912979039
034aa5ee,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90,2,574.3058823529427,45.76554682791799,0.8725606361206244
c1e94a44,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90,3,-1245.6941176470573,68.64832024187699,0.9674544942473856
9b4838ba,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90,4,-3065.6941176470573,91.53109365583597,1.179908771693693
ee76044f,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90,5,-4885.694117647057,114.41386706979497,1.4498808237049325
b6d11180,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90,1,2604.3058823529423,19.61380578339342,1.1406406333080699
28c7ceed,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90,2,994.3058823529427,39.22761156678684,0.8604927366471533
c40f27a5,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90,3,-615.6941176470573,58.84141735018027,0.8847937534947822
958ba391,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90,4,-2225.6941176470573,78.45522313357368,1.0304284900565905
35fe4924,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90,5,-3835.6941176470573,98.06902891696713,1.236606744036047
9ad0e0c0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90,1,2564.3058823529423,19.61380578339342,1.1182514977661429
d669e1a5,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90,2,914.3058823529427,39.22761156678684,0.8407528509848919
8453c724,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90,3,-735.6941176470573,58.84141735018027,0.8682057136625069
ce7181a9,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90,4,-2385.6941176470573,78.45522313357368,1.016307735264046
e3e51607,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90,5,-4035.6941176470573,98.06902891696713,1.2243689705968928
50e04da0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90,1,3264.3058823529423,9.80690289169671,1.4484058222277518
6b77911f,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90,2,2314.3058823529423,19.61380578339342,0.9899456635702352
0e9d3e51,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90,3,1364.3058823529427,29.420708675090136,0.7975935641760757
b9f48141,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90,4,414.3058823529427,39.22761156678684,0.730653477573663
48778fe3,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90,5,-535.6941176470573,49.034514458483564,0.732752897855408
